#============================================================================#          
#-------------------------------     Menu     -------------------------------#          
#============================================================================#          
# L1Seed                                                     Bit  Prescale POG     PAG 
L1_SingleMu3er1p5_ETMHF30_SingleJet110er2p4                   81         1
L1_SingleMu3er1p5_ETMHF30_SingleJet120                        78         1
L1_SingleMu3er1p5_ETMHF30_SingleJet120er2p4                   82         1
L1_SingleMu3er1p5_ETMHF30_SingleJet90                         75         1
L1_SingleMu3er1p5_ETMHF30_SingleJet90er2p4                    79         1
L1_SingleMu3er1p5_ETMHF50                                    356         1
L1_SingleMu3er1p5_ETMHF50_HTT160er                           409         1
L1_SingleMu3er1p5_ETMHF50_SingleJet100                        60         1
L1_SingleMu3er1p5_ETMHF50_SingleJet100er2p4                   63         1
L1_SingleMu3er1p5_ETMHF50_SingleJet110                        61         1
L1_SingleMu3er1p5_ETMHF50_SingleJet120                        62         1
L1_SingleMu3er1p5_ETMHF50_SingleJet70                        373         1
L1_SingleMu3er1p5_ETMHF50_SingleJet70er2p4                   501         1
L1_SingleMu3er1p5_ETMHF50_SingleJet90                        496         1
L1_SingleMu3er1p5_ETMHF50_SingleJet90er2p4                   500         1
L1_SingleMu3er1p5_ETMHF70_SingleJet90                        497         1
L1_SingleMu3er2p1                                            353         1
L1_SingleMu3er2p1_ETMHF50                                    355         1
L1_SingleMu3er2p1_ETMHF50_HTT160er                           408         1
L1_SingleMu3er2p1_ETMHF50_SingleJet100                        54         1
L1_SingleMu3er2p1_ETMHF50_SingleJet100er2p4                   57         1
L1_SingleMu3er2p1_ETMHF50_SingleJet110                        55         1
L1_SingleMu3er2p1_ETMHF50_SingleJet110er2p4                   58         1
L1_SingleMu3er2p1_ETMHF50_SingleJet120                        56         1
L1_SingleMu3er2p1_ETMHF50_SingleJet120er2p4                   59         1
L1_SingleMu3er2p1_ETMHF50_SingleJet70                        372         1
L1_SingleMu3er2p1_ETMHF50_SingleJet70er2p4                   499         1
L1_SingleMu3er2p1_ETMHF50_SingleJet90                        494         1
L1_SingleMu3er2p1_ETMHF50_SingleJet90er2p4                   498         1
L1_SingleMu3er2p1_ETMHF70_SingleJet90                        495         1
L1_SingleMuOpen                                                1         1
L1_SingleMuOpen_ETMHF50                                      374         1
L1_SingleMuOpen_ETMHF50_HTT160er                             351         1
L1_SingleMuOpen_ETMHF50_SingleJet70                          352         1
L1_SingleMuOpen_ETMHF50_SingleJet90                          492         1
L1_SingleMuOpen_ETMHF70_SingleJet90                          493         1
L1_Mu6_HTT250er                                              316         1
